"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with valid url and valid body","SUCCESS","2022-12-16T21:44:56.6529861+07:00[Asia/Bangkok]","0.0","10.28"
"Login","Login with valid url and null body","SUCCESS","2022-12-16T21:45:07.0779536+07:00[Asia/Bangkok]","0.0","0.77"
"Login","Login with valid url and body valid email null password","SUCCESS","2022-12-16T21:45:07.9084708+07:00[Asia/Bangkok]","0.0","0.46"
"Login","Login with valid url and body null email valid password","SUCCESS","2022-12-16T21:45:08.3887045+07:00[Asia/Bangkok]","0.0","0.32"
"Login","Login with valid url and body valid email wrong password","SUCCESS","2022-12-16T21:45:08.743863+07:00[Asia/Bangkok]","0.0","0.38"
"Login","Login with valid url and body invalid format email","SUCCESS","2022-12-16T21:45:09.1387437+07:00[Asia/Bangkok]","0.0","0.22"
"Login","Login with valid url and body wrong email valid password","SUCCESS","2022-12-16T21:45:09.3805317+07:00[Asia/Bangkok]","0.0","0.67"
"Register","Regis with valid url and valid body","SUCCESS","2022-12-16T21:44:56.4259697+07:00[Asia/Bangkok]","0.0","11.31"
"Register","Regis with valid url and null body","SUCCESS","2022-12-16T21:45:07.757375+07:00[Asia/Bangkok]","0.0","0.63"
"Register","Regis with valid url body valid email and null password","SUCCESS","2022-12-16T21:45:08.4396946+07:00[Asia/Bangkok]","0.0","0.26"
"Register","Regis with valid url body null email and valid password","SUCCESS","2022-12-16T21:45:08.7208069+07:00[Asia/Bangkok]","0.0","0.29"
"Register","Regis with body already exist","SUCCESS","2022-12-16T21:45:09.0247992+07:00[Asia/Bangkok]","0.0","0.3"
"Find All Course","Find all course with valid url and valid token","SUCCESS","2022-12-16T21:44:56.6050198+07:00[Asia/Bangkok]","0.0","10.43"
"Find All Course","Find all course with valid url and invalid method","SUCCESS","2022-12-16T21:45:07.148763+07:00[Asia/Bangkok]","0.0","0.92"
"Find Course By Mentor","Find course by mentor with valid url and valid mentor id","SUCCESS","2022-12-16T21:44:56.4919558+07:00[Asia/Bangkok]","0.0","10.47"
"Find Course By Mentor","Find course by mentor with invalid url and invalid mentor id","SUCCESS","2022-12-16T21:45:06.9852004+07:00[Asia/Bangkok]","0.0","0.82"
"Find Course By Category","Find course by category with valid url and valid category","SUCCESS","2022-12-16T21:44:56.7319614+07:00[Asia/Bangkok]","0.0","10.21"
"Find Course By Category","Find course by category with valid url and invalid category","SUCCESS","2022-12-16T21:45:07.0151228+07:00[Asia/Bangkok]","0.0","0.93"
"Find Course By Id","Find course by id with valid url and valid method","SUCCESS","2022-12-16T21:44:56.1409671+07:00[Asia/Bangkok]","0.0","10.83"
"Find Course By Id","Find course by id with valid url and invalid method","SUCCESS","2022-12-16T21:45:07.2824057+07:00[Asia/Bangkok]","0.0","0.87"
"Full Detail Course","Full detail course with valid url valid token and valid course id","SUCCESS","2022-12-16T21:44:56.1919798+07:00[Asia/Bangkok]","0.0","10.76"
"Full Detail Course","Full detail course with valid url valid token and invalid course id","SUCCESS","2022-12-16T21:45:07.1108655+07:00[Asia/Bangkok]","0.0","0.31"
