"Story","Title","Result","Date","Stability","Duration (s)"
"Find All Course","Find all course with valid url and valid token","SUCCESS","2022-12-16T21:44:56.6050198+07:00[Asia/Bangkok]","0.0","10.43"
"Find All Course","Find all course with valid url and invalid method","SUCCESS","2022-12-16T21:45:07.148763+07:00[Asia/Bangkok]","0.0","0.92"
"Find Course By Mentor","Find course by mentor with valid url and valid mentor id","SUCCESS","2022-12-16T21:44:56.4919558+07:00[Asia/Bangkok]","0.0","10.47"
"Find Course By Mentor","Find course by mentor with invalid url and invalid mentor id","SUCCESS","2022-12-16T21:45:06.9852004+07:00[Asia/Bangkok]","0.0","0.82"
"Find Course By Category","Find course by category with valid url and valid category","SUCCESS","2022-12-16T21:44:56.7319614+07:00[Asia/Bangkok]","0.0","10.21"
"Find Course By Category","Find course by category with valid url and invalid category","SUCCESS","2022-12-16T21:45:07.0151228+07:00[Asia/Bangkok]","0.0","0.93"
"Find Course By Id","Find course by id with valid url and valid method","SUCCESS","2022-12-16T21:44:56.1409671+07:00[Asia/Bangkok]","0.0","10.83"
"Find Course By Id","Find course by id with valid url and invalid method","SUCCESS","2022-12-16T21:45:07.2824057+07:00[Asia/Bangkok]","0.0","0.87"
"Full Detail Course","Full detail course with valid url valid token and valid course id","SUCCESS","2022-12-16T21:44:56.1919798+07:00[Asia/Bangkok]","0.0","10.76"
"Full Detail Course","Full detail course with valid url valid token and invalid course id","SUCCESS","2022-12-16T21:45:07.1108655+07:00[Asia/Bangkok]","0.0","0.31"
