"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with valid url and valid body","SUCCESS","2022-12-19T23:55:11.357523+07:00[Asia/Bangkok]","0.0","12.12"
"Login","Login with valid url and null body","SUCCESS","2022-12-19T23:55:23.913895+07:00[Asia/Bangkok]","0.0","0.85"
"Login","Login with valid url and body valid email null password","SUCCESS","2022-12-19T23:55:24.8837753+07:00[Asia/Bangkok]","0.0","0.28"
"Login","Login with valid url and body null email valid password","SUCCESS","2022-12-19T23:55:25.1797661+07:00[Asia/Bangkok]","0.0","0.27"
"Login","Login with valid url and body valid email wrong password","SUCCESS","2022-12-19T23:55:25.5037305+07:00[Asia/Bangkok]","0.0","0.32"
"Login","Login with valid url and body invalid format email","SUCCESS","2022-12-19T23:55:25.8387493+07:00[Asia/Bangkok]","0.0","0.26"
"Login","Login with valid url and body wrong email valid password","SUCCESS","2022-12-19T23:55:26.117811+07:00[Asia/Bangkok]","0.0","0.24"
"Register","Regis with valid url and valid body","SUCCESS","2022-12-19T23:55:11.6986414+07:00[Asia/Bangkok]","0.0","12.53"
"Register","Regis with valid url and null body","SUCCESS","2022-12-19T23:55:24.5352706+07:00[Asia/Bangkok]","0.0","0.49"
"Register","Regis with valid url body valid email and null password","SUCCESS","2022-12-19T23:55:25.0428203+07:00[Asia/Bangkok]","0.0","0.39"
"Register","Regis with valid url body null email and valid password","SUCCESS","2022-12-19T23:55:25.4637386+07:00[Asia/Bangkok]","0.0","0.36"
"Register","Regis with body already exist","SUCCESS","2022-12-19T23:55:25.8597443+07:00[Asia/Bangkok]","0.0","0.24"
